name,salary_from,salary_to,salary_currency,area_name,published_at
Дизайнер в типографию,,170000.0,KZT,Алматы,2022-12-07T08:07:55+0300
Java-разработчик,800000.0,,KZT,Алматы,2022-12-07T06:59:56+0300
DevOps инженер,,,,Астана,2022-12-07T07:12:07+0300
Ведущий эксперт по оценке бизнес-инициатив,92100.0,,RUR,Екатеринбург,2022-12-07T09:24:07+0300
Специалист IT отдела,30000.0,50000.0,RUR,Чита,2022-12-07T11:00:31+0300
Специалист технической поддержки,,,,Киров (Кировская область),2022-12-07T11:16:47+0300
UNIX инженер [Кибербезопасность],,,,Москва,2022-12-07T11:43:04+0300
Оператор электронно-вычислительных и вычислительных машин,15000.0,20000.0,RUR,Самара,2022-12-07T11:05:08+0300
Механик,45000.0,90000.0,RUR,Омск,2022-12-07T08:39:33+0300
Ведущий аналитик/Аналитик 1С УПП (удаленно),,,,Москва,2022-12-07T11:12:13+0300
Системный аналитик,,,,Алматы,2022-12-07T08:18:42+0300
Шлифовщик,100000.0,,RUR,Нижний Новгород,2022-12-07T09:55:04+0300
Аналитик маркетплейсов,45000.0,,RUR,Новосибирск,2022-12-07T08:08:58+0300
Журналист-копирайтер,,,,Пермь,2022-12-07T08:04:50+0300
Data engineer,,,,Москва,2022-12-07T09:22:30+0300
Разработчик BI,,,,Москва,2022-12-07T10:32:34+0300
Руководитель проектов,,,,Новосибирск,2022-12-07T08:21:48+0300
Менеджер по продажам и изготовлению печатей и штампов,40000.0,40000.0,RUR,Мытищи,2022-12-07T11:16:06+0300
Токарь,120000.0,,RUR,Пенза,2022-12-07T08:06:56+0300
Product Manager (gambling),,,,Москва,2022-12-07T11:24:00+0300
Аналитик,45000.0,,RUR,Волгоград,2022-12-07T10:22:30+0300
Начальник отдела АСУ,80000.0,,RUR,Казань,2022-12-07T09:44:59+0300
Менеджер аналитик по маркетингу,,,,Санкт-Петербург,2022-12-07T11:05:19+0300
Дизайнер,25000.0,40000.0,RUR,Ульяновск,2022-12-07T11:20:39+0300
Руководитель проектов,,,,Астана,2022-12-07T09:11:33+0300
Go-разработчик,,,,Киров (Кировская область),2022-12-07T08:19:14+0300
Разработчик,,,,Уфа,2022-12-07T09:54:12+0300
Аналитик пищевого производства,80000.0,100000.0,RUR,Москва,2022-12-07T11:29:52+0300
Старший специалист технической поддержки,55000.0,65000.0,RUR,Екатеринбург,2022-12-07T08:01:45+0300
Оператор WMS/технолог склада,92000.0,,RUR,Лобня,2022-12-07T08:56:10+0300
Дизайнер-визуализатор,50000.0,50000.0,RUR,Калининград,2022-12-07T09:54:08+0300
Ведущий эксперт в группу развития платформы автоматизации,,,,Москва,2022-12-07T11:43:05+0300
Тестировщик,,,,Екатеринбург,2022-12-07T06:28:46+0300
Токарь / оборонка,115000.0,,RUR,Оренбург,2022-12-07T10:15:49+0300
Специалист по спутниковому мониторингу автотранспорта,85000.0,90000.0,RUR,Нягань,2022-12-07T07:46:19+0300
Механик по ремонту транспорта,150000.0,,RUR,Таксимо,2022-12-07T11:51:23+0300
Системный аналитик,,,,Москва,2022-12-07T09:55:43+0300
Flutter разработчик,400000.0,700000.0,RUR,Москва,2022-12-07T09:47:17+0300
Ведущий инженер-схемотехник (вычислительные системы),,,,Санкт-Петербург,2022-12-07T09:20:40+0300
Дежурный мониторинга ИТ-систем,,,,Москва,2022-12-07T11:51:59+0300
Менеджер продукта (сервисы для сферы услуг),,,,Санкт-Петербург,2022-12-07T09:43:20+0300
Системный администратор,25000.0,30000.0,RUR,Пермь,2022-12-07T11:11:03+0300
Инсталлятор,70000.0,,RUR,Пограничный (Приморский край),2022-12-07T09:45:58+0300
Инженер сопровождения CRM,,,,Москва,2022-12-07T09:32:44+0300
Механик по выпуску автотранспорта,80000.0,,RUR,Саратов,2022-12-07T11:03:25+0300
Техник (ККТ),30000.0,,RUR,Благовещенск (Амурская область),2022-12-07T09:18:42+0300
Инженер-программист (Java),,,,Москва,2022-12-07T09:44:07+0300
Заместитель начальника отдела ИТ,,,,Уфа,2022-12-07T11:05:50+0300
Ведущий программист (системный администратор),45000.0,,RUR,Дедовск,2022-12-07T10:39:22+0300
Fullstack разработчик/Frontend,,,,Уфа,2022-12-07T09:54:31+0300
Дизайнер-визуализатор,28000.0,55000.0,KGS,Бишкек,2022-12-07T07:46:32+0300
Программист 1С,,150000.0,RUR,Москва,2022-12-07T10:58:15+0300
Младший консультант SAP BASIS / SAP GRC,,,,Пермь,2022-12-07T09:49:52+0300
