,name,salary_from,salary_to,salary_currency,area_name,published_at
338,Ведущий специалист по внедрению автоматизированных систем управления,30000.0,55000.0,RUR,Санкт-Петербург,2007
339,Веб-дизайнер,15000.0,20000.0,RUR,Санкт-Петербург,2007
340,Сервисный инженер,20300.0,29000.0,RUR,Москва,2007
341,Менеджер по работе с клиентами по продаже Axapta,50000.0,80000.0,RUR,Москва,2007
342,Специалист группы поддержки 1С,55000.0,65000.0,RUR,Москва,2007
343,Продукт менеджер (Криптография),39000.0,50000.0,RUR,Москва,2007
344,Специалист техподдержки,500.0,1000.0,RUR,Москва,2007
345,Ассистент маркетолога-аналитика,18000.0,30000.0,RUR,Москва,2007
346,Старший системный администратор,45000.0,70000.0,RUR,Москва,2007
347,Инженер службы технической поддержки,18000.0,21000.0,RUR,Москва,2007
348,Помощник системного администратора,20000.0,25000.0,RUR,Москва,2007
349,Специалист по технической поддержке клиентов,15000.0,17700.0,RUR,Нижний Новгород,2007
350,Эксперт отдела нормативно-справочной информации,53000.0,53000.0,RUR,Москва,2007
351,Системный Администратор,30000.0,45000.0,RUR,Москва,2007
352,Специалист по продаже услуг связи,13700.0,16500.0,RUR,Нижний Новгород,2007
353,"Системный программист (C++, C#)",56000.0,56000.0,RUR,Москва,2007
354,Инженер-проектировщик АСУТП электрической части,45000.0,55000.0,RUR,Москва,2007
355,Инженер-проектировщик АСУТП тепловой части,45000.0,55000.0,RUR,Москва,2007
356,Инженер-проектировщик систем телемеханики,35000.0,55000.0,RUR,Москва,2007
357,Системный администратор,25000.0,30000.0,RUR,Санкт-Петербург,2007
358,Специалист службы поддержки дистанционного обучения,21000.0,25000.0,RUR,Москва,2007
359,J2EE Разработчик,30000.0,45000.0,RUR,Москва,2007
360,Инженер-проектировщик,18000.0,30000.0,RUR,Краснодар,2007
361,Инженер-проектировщик систем электроснабжения,18000.0,30000.0,RUR,Краснодар,2007
362,Бизнес – аналитик (Крупная международная FMCG компания),50000.0,50000.0,RUR,Москва,2007
363,Менеджер службы сопровождения прикладных систем (менеджер проектов),28000.0,40000.0,RUR,Иркутск,2007
364,Инженер технической поддержки,18000.0,24000.0,RUR,Москва,2007
365,"ИНЖЕНЕР СВЯЗИ/ ИНЖЕНЕР CISCO в динамично развивающуюся компанию ""UNILINK"" (оператор связи)",25000.0,35000.0,RUR,Москва,2007
366,Продакт-менеджер по ИТ-услугам,60000.0,143000.0,RUR,Москва,2007
367,Веб-разработчик,40000.0,50000.0,RUR,Москва,2007
368,Консультант ITIL /ITSM,50000.0,67000.0,RUR,Москва,2007
369,Консультант по ведению учета в отдел сопровождения ПО 1С,25000.0,40000.0,RUR,Нижний Новгород,2007
370,Менеджер партнерских программ,50000.0,50000.0,RUR,Москва,2007
371,Руководитель группы телемаркетинга,10000.0,15000.0,RUR,Нижний Новгород,2007
372,Системный администратор,20000.0,20000.0,RUR,Санкт-Петербург,2007
373,Специалист по технической поддержке,15000.0,25000.0,RUR,Москва,2007
374,Системный администратор,20000.0,30000.0,RUR,Москва,2007
375,Менеджер по инженерной поддержке продаж (инженерные системы),50000.0,65000.0,RUR,Москва,2007
376,Инженер АСУ (внедрение; сопровождение),67000.0,80000.0,RUR,Москва,2007
377,Ведущий специалист Отдела экспертного обслуживания,30000.0,42000.0,RUR,Москва,2007
378,Специалист по установке инженерных системам безопасности,12000.0,25000.0,RUR,Краснодар,2007
379,Сотрудник helpdesk,25000.0,26000.0,RUR,Москва,2007
380,Программист 1С м. Киевская,45000.0,60000.0,RUR,Москва,2007
381,Программист DELPHI,50000.0,65000.0,RUR,Москва,2007
382,Инженер АСУ (внедрение; сопровождение),67000.0,80000.0,RUR,Москва,2007
383,Perl Developer,23000.0,30000.0,RUR,Новосибирск,2007
384,Менеджер отдела информационных технологий,75000.0,80000.0,RUR,Санкт-Петербург,2007
385,Программист (1С),50000.0,60000.0,RUR,Москва,2007
386,Архитектор ПО,50000.0,80000.0,RUR,Москва,2007
387,WEB программист,30000.0,30000.0,RUR,Москва,2007
388,Администратор сайта (г. Долгопрудный),20000.0,40000.0,RUR,Москва,2007
389,Менеджер по продажам,12000.0,25000.0,RUR,Санкт-Петербург,2007
390,Аналитик / постановщик задач в Отдел программных решений,41000.0,66000.0,RUR,Москва,2007
391,Программист 1С,25000.0,25000.0,RUR,Нижний Новгород,2007
392,Специалист по качеству,18000.0,35000.0,RUR,Москва,2007
393,Системный администратор,20000.0,25000.0,RUR,Россия,2007
394,Руководитель аналитического отдела,50000.0,60000.0,RUR,Москва,2007
395,Программист С#/.NET для развития web платформы,45000.0,60000.0,RUR,Москва,2007
396,Менеджер отдела консультирования,60000.0,80000.0,RUR,Москва,2007
397,Системный администратор,23000.0,25000.0,RUR,Москва,2007
398,Инженер,23000.0,28000.0,RUR,Москва,2007
399,Руководитель IT отделом,60000.0,60000.0,RUR,Москва,2007
400,Специалист технической поддержки,18000.0,22000.0,RUR,Москва,2007
401,Инженер-программист 1 категории,12000.0,14000.0,RUR,Новосибирск,2007
402,Программист 1С,60000.0,65000.0,RUR,Москва,2007
403,Консультант ERP - системы,25000.0,30000.0,RUR,Барнаул,2007
404,Помощник системного администратора,15000.0,18000.0,RUR,Москва,2007
405,Помощник системного администратора,11000.0,20000.0,RUR,Москва,2007
406,Системный администратор,45000.0,60000.0,RUR,Москва,2007
407,Оператор мониторинга телевизионного эфира (г.Нальчик),8000.0,10000.0,RUR,Нальчик,2007
408,Web-программист,10000.0,15000.0,RUR,Ростов-на-Дону,2007
409,Оператор мониторинга телевизионного эфира (г. Майкоп),8000.0,10000.0,RUR,Майкоп,2007
410,Оператор мониторинга телевизионного эфира (г.Черкесск),8000.0,10000.0,RUR,Черкесск,2007
411,Технический писатель,25000.0,35000.0,RUR,Москва,2007
412,Оператор мониторинга телевизионного эфира (г.Владикавказ),8000.0,10000.0,RUR,Владикавказ,2007
413,Менеджер по телемаркетингу,20000.0,40000.0,RUR,Москва,2007
414,Системный администратор / Инженер техподдержки,25000.0,35000.0,RUR,Москва,2007
415,Оператор мониторинга телевизионного эфира (г.Новороссийск),8000.0,10000.0,RUR,Краснодар,2007
416,Делопроизводитель,10000.0,18000.0,RUR,Москва,2007
417,Менеджер по работе с клиентами(без поиска),12000.0,15000.0,RUR,Москва,2007
418,Ведущий разработчик Embedded-систем,50000.0,90000.0,RUR,Москва,2007
419,Оператор мониторинга телевизионного эфира (г.Волгодонск),8000.0,10000.0,RUR,Ростов-на-Дону,2007
420,Программист,31500.0,35000.0,RUR,Москва,2007
421,Заместитель IT-директора,90000.0,100000.0,RUR,Москва,2007
422,Специалист (Управление страхования),20000.0,38000.0,RUR,Москва,2007
423,Специалист отдела IT,18000.0,25000.0,RUR,Санкт-Петербург,2007
424,Программист 1С,20000.0,30000.0,RUR,Пермь,2007
425,Ведущий менеджер проектов в области информационной безопастности,150000.0,175000.0,RUR,Москва,2007
426,Инженер техподдержки,20000.0,25000.0,RUR,Москва,2007
